movieId,title,year,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,year_scaled,avg_rating,avg_rating_scaled,genre_score,genre_score_scaled
1,Toy Story,1995,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.022160619,3.920930233,0.760206718,17.42722335,2.388239635
2,Jumanji,1995,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.022160619,3.431818182,0.651515152,10.41256555,0.61078682
3,Grumpier Old Men,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.022160619,3.259615385,0.613247863,6.891231468,-0.281488377
4,Waiting to Exhale,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.022160619,2.357142857,0.412698413,10.54739948,0.644952556
5,Father of the Bride Part II,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022160619,3.071428571,0.571428571,3.384720764,-1.170007461
6,Heat,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.022160619,3.946078431,0.765795207,10.5999947,0.658279725
7,Sabrina,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.022160619,3.185185185,0.596707819,6.891231468,-0.281488377
8,Tom and Huck,1995,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022160619,2.875,0.527777778,6.92156504,-0.273802116
9,Sudden Death,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022160619,3.125,0.583333333,3.447977539,-1.153978749
10,GoldenEye,1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.022160619,3.496212121,0.665824916,10.45030975,0.62035087
11,"American President, The",1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.022160619,3.671428571,0.704761905,10.54739948,0.644952556
12,Dracula: Dead and Loving It,1995,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.022160619,2.421052632,0.426900585,6.642915799,-0.344409392
13,Balto,1995,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022160619,3.125,0.583333333,10.55150208,0.645992118
14,Nixon,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.022160619,3.833333333,0.740740741,3.65616801,-1.101225108
15,Cutthroat Island,1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.022160619,3,0.555555556,10.46309716,0.623591087
16,Casino,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.022160619,3.926829268,0.761517615,7.314461878,-0.1742455
17,Sense and Sensibility,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.022160619,3.776119403,0.728026534,7.162678714,-0.212706024
18,Four Rooms,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022160619,3.7,0.711111111,3.384720764,-1.170007461
19,Ace Ventura: When Nature Calls,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022160619,2.727272727,0.494949495,3.384720764,-1.170007461
20,Money Train,1995,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.022160619,2.5,0.444444444,17.64088348,2.442379239
21,Get Shorty,1995,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.022160619,3.494382022,0.665418227,10.53673793,0.642251013
22,Copycat,1995,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0.022160619,3.222222222,0.604938272,17.69884046,2.457065032
23,Assassins,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.022160619,3.125,0.583333333,10.5999947,0.658279725
24,Powder,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.022160619,3.125,0.583333333,7.112018796,-0.225542803
25,Leaving Las Vegas,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.022160619,3.625,0.694444444,7.162678714,-0.212706024
26,Othello,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.022160619,3.5,0.666666667,3.65616801,-1.101225108
27,Now and Then,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.022160619,3.333333333,0.62962963,7.069124135,-0.236411934
28,Persuasion,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.022160619,4.227272727,0.828282828,7.162678714,-0.212706024
